;_id;available;connected;estation;free;open;ticket;total;;
406;5c605f8625541729b7d50a19;4;1;30;16;1;0;20;;
407;5c605f8625541729b7d50a1a;9;1;11;18;1;1;27;;
408;5c605f8625541729b7d50a1b;14;1;5;1;1;1;15;;
409;5c605f8625541729b7d50a1c;3;1;6;12;1;1;15;;
410;5c605f8625541729b7d50a1d;9;1;36;16;1;0;25;;
411;5c605f8625541729b7d50a1e;15;1;1;10;1;1;25;;
412;5c605f8625541729b7d50a1f;5;1;2;10;1;0;15;;
413;5c605f8625541729b7d50a20;3;1;7;15;1;1;20;;
414;5c605f8625541729b7d50a21;0;1;10;15;1;1;15;;
415;5c605f8625541729b7d50a22;4;1;82;11;1;0;15;;
416;5c605f8625541729b7d50a23;1;1;147;11;1;0;15;;
417;5c605f8625541729b7d50a24;3;1;20;13;1;1;16;;
418;5c605f8625541729b7d50a25;0;1;3;20;1;1;20;;
419;5c605f8625541729b7d50a26;11;1;4;14;1;1;25;;
420;5c605f8625541729b7d50a27;5;1;8;17;1;1;23;;
421;5c605f8625541729b7d50a28;20;1;58;0;1;1;20;;
422;5c605f8625541729b7d50a29;6;1;33;14;1;1;20;;
423;5c605f8625541729b7d50a2a;1;1;110;29;1;0;30;;
424;5c605f8625541729b7d50a2b;3;1;111;27;1;0;30;;
425;5c605f8625541729b7d50a2c;12;1;113;26;1;1;38;;
426;5c605f8625541729b7d50a2d;2;1;114;28;1;0;30;;
427;5c605f8625541729b7d50a2e;3;1;19;12;1;0;15;;
428;5c605f8625541729b7d50a2f;3;1;21;13;1;1;16;;
429;5c605f8625541729b7d50a30;7;1;22;8;1;0;15;;
430;5c605f8625541729b7d50a31;1;1;23;18;1;1;19;;
